user,ip,status,timestamp
john,192.168.1.10,FAILED,2026-04-15 10:01:00
john,192.168.1.10,FAILED,2026-04-15 10:02:00
john,192.168.1.10,FAILED,2026-04-15 10:03:00
john,192.168.1.10,SUCCESS,2026-04-15 10:04:00

alice,192.168.1.20,FAILED,2026-04-15 11:01:00
alice,192.168.1.20,FAILED,2026-04-15 11:02:00
alice,192.168.1.20,FAILED,2026-04-15 11:03:00
alice,192.168.1.20,FAILED,2026-04-15 11:04:00

bob,192.168.1.30,FAILED,2026-04-15 12:01:00
charlie,192.168.1.30,FAILED,2026-04-15 12:02:00
david,192.168.1.30,FAILED,2026-04-15 12:03:00
